abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,is_dual_type,density,phys_ratio,offensive_score,defensive_score,survivability,stat_variance,speed_tier,catch_tier,gender_cat
"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90,5120,70,465,75.0,Bagworm Pokémon,140,1000000,1.2,75,Foretosフォレトス,Forretress,50.0,205,60,60,40,bug,steel,125.8,2,0,1,87.36,0.6,63.3,91.7,85.7,1217.5,Very Slow (<50),Hard (31-75),Mixed
"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,415,190.0,Land Snake Pokémon,70,1000000,1.5,100,Nokocchiノコッチ,Dunsparce,50.0,206,65,65,45,normal,None,14.0,2,0,0,6.22,0.519,60.0,78.3,76.9,314.2,Very Slow (<50),Easy (151-255),Mixed
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,5120,70,430,60.0,Flyscorpion Pokémon,105,1059860,1.1,65,Gligerグライガー,Gligar,50.0,207,35,65,85,ground,flying,64.8,2,0,1,53.55,0.682,65.0,78.3,76.3,546.7,Medium (70-90),Hard (31-75),Mixed
"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125,6400,70,610,25.0,Iron Snake Pokémon,230,1000000,9.2,75,Haganeilハガネール,Steelix,50.0,208,55,95,30,steel,ground,400.0,2,0,1,4.73,0.694,70.0,133.3,117.9,5016.7,Very Slow (<50),Legendary-tier (0-30),Mixed
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,5120,70,300,190.0,Fairy Pokémon,50,800000,0.6,60,Buluブルー,Snubbull,24.6,209,40,40,30,fairy,None,7.8,2,0,0,21.67,0.667,50.0,50.0,49.3,320.0,Very Slow (<50),Easy (151-255),Mixed
"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120,5120,70,450,75.0,Fairy Pokémon,75,800000,1.4,90,Granbuluグランブル,Granbull,24.6,210,60,60,45,fairy,None,48.7,2,0,0,24.85,0.667,75.0,75.0,74.0,720.0,Very Slow (<50),Hard (31-75),Mixed
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45.0,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0,1,15.6,0.633,78.3,68.3,67.2,296.7,Medium (70-90),Hard (31-75),Mixed
"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,70,600,25.0,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0,1,36.42,0.698,96.7,103.3,99.3,1370.0,Medium (70-90),Legendary-tier (0-30),Mixed
"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,70,505,190.0,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0,1,56.94,0.5,8.3,160.0,101.9,12784.2,Very Slow (<50),Easy (151-255),Mixed
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,70,600,45.0,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0,1,24.0,0.822,100.0,100.0,98.9,2420.0,Medium (70-90),Hard (31-75),Mixed
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,35,430,60.0,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0,1,34.57,0.731,81.7,61.7,61.0,866.7,Very Fast (110-150),Hard (31-75),Mixed
"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,330,120.0,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,Teddiursa,50.0,216,50,50,40,normal,None,8.8,2,0,0,24.44,0.615,56.7,53.3,53.1,190.0,Very Slow (<50),Medium (76-150),Mixed
"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,70,500,60.0,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,Ursaring,50.0,217,75,75,55,normal,None,125.8,2,0,0,38.83,0.634,86.7,80.0,79.7,646.7,Slow (50-70),Hard (31-75),Mixed
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,70,250,190.0,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,Slugma,50.0,218,70,40,20,fire,None,35.0,2,0,0,71.43,0.364,43.3,40.0,40.0,256.7,Very Slow (<50),Easy (151-255),Mixed
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,70,430,75.0,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0,1,85.94,0.357,56.7,86.7,83.2,1016.7,Very Slow (<50),Hard (31-75),Mixed
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,70,250,225.0,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0,1,40.62,0.625,43.3,40.0,39.1,96.7,Very Slow (<50),Easy (151-255),Mixed
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100,5120,70,450,75.0,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,Piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0,1,46.12,0.625,70.0,80.0,78.3,470.0,Very Slow (<50),Hard (31-75),Mixed
"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,5120,70,410,60.0,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,water,rock,5.0,2,0,1,13.89,0.458,51.7,85.0,83.7,546.7,Very Slow (<50),Hard (31-75),Mixed
"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,300,190.0,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,Remoraid,50.0,223,65,35,65,water,None,12.0,2,0,0,33.33,0.5,65.0,35.0,35.0,270.0,Slow (50-70),Easy (151-255),Mixed
"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,480,75.0,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,Octillery,50.0,224,105,75,45,water,None,28.5,2,0,0,35.19,0.5,85.0,75.0,75.0,510.0,Very Slow (<50),Hard (31-75),Mixed
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55,5120,70,330,45.0,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,Delibird,50.0,225,65,45,75,ice,flying,16.0,2,0,1,19.75,0.458,65.0,45.0,45.0,160.0,Medium (70-90),Hard (31-75),Mixed
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,70,485,25.0,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,Mantine,50.0,226,80,140,70,water,flying,220.0,2,0,1,49.89,0.333,63.3,98.3,94.1,1084.2,Slow (50-70),Legendary-tier (0-30),Mixed
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80,6400,70,465,25.0,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,Skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0,1,17.47,0.667,63.3,91.7,86.0,1117.5,Slow (50-70),Legendary-tier (0-30),Mixed
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60,5120,35,330,120.0,Dark Pokémon,30,1250000,0.6,45,Delvilデルビル,Houndour,50.0,228,80,50,65,dark,fire,10.8,2,0,1,30.0,0.429,68.3,41.7,40.7,300.0,Slow (50-70),Medium (76-150),Mixed
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90,5120,35,600,45.0,Dark Pokémon,90,1250000,1.4,75,Hellgarヘルガー,Houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0,1,17.86,0.391,115.0,85.0,84.7,550.0,Very Fast (110-150),Hard (31-75),Mixed
"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95,5120,70,540,45.0,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,Kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0,1,46.91,0.5,91.7,88.3,87.8,70.0,Medium (70-90),Hard (31-75),Mixed
"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,5120,70,330,120.0,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,Phanpy,50.0,231,40,40,40,ground,None,33.5,2,0,0,134.0,0.6,46.7,63.3,60.0,390.0,Very Slow (<50),Medium (76-150),Mixed
"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120,5120,70,500,60.0,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,Donphan,50.0,232,60,60,50,ground,None,120.0,2,0,0,99.17,0.667,76.7,90.0,86.5,986.7,Very Slow (<50),Hard (31-75),Mixed
"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,515,45.0,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,Porygon2,-1.0,233,105,95,60,normal,None,32.5,2,0,0,90.28,0.432,81.7,90.0,89.9,234.2,Slow (50-70),Hard (31-75),Genderless
"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,5120,70,465,45.0,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,Stantler,50.0,234,85,65,85,normal,None,71.2,2,0,0,36.33,0.528,88.3,66.7,66.5,167.1,Medium (70-90),Hard (31-75),Mixed
"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,5120,70,250,45.0,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,Smeargle,50.0,235,20,45,75,normal,None,58.0,2,0,0,40.28,0.5,38.3,45.0,44.2,456.7,Medium (70-90),Hard (31-75),Mixed
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35,6400,70,210,75.0,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,Tyrogue,100.0,236,35,35,35,fighting,None,21.0,2,0,0,42.86,0.5,35.0,35.0,35.0,0.0,Very Slow (<50),Hard (31-75),Male-only
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,70,455,45.0,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,Hitmontop,100.0,237,35,110,70,fighting,None,48.0,2,0,0,24.49,0.731,66.7,85.0,80.5,854.2,Slow (50-70),Hard (31-75),Male-only
"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30,6400,70,305,45.0,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,Smoochum,0.0,238,85,65,65,ice,psychic,6.0,2,0,1,37.5,0.261,60.0,41.7,35.3,664.2,Slow (50-70),Hard (31-75),Female-only
"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63,6400,70,360,45.0,Electric Pokémon,37,1000000,0.6,45,Elekidエレキッド,Elekid,75.4,239,65,55,95,electric,None,23.5,2,0,0,65.28,0.492,74.3,45.7,45.1,407.6,Fast (90-110),Hard (31-75),Mixed
"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,75,6400,70,365,45.0,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,Magby,75.4,240,70,55,83,fire,None,21.4,2,0,0,43.67,0.517,76.0,45.7,45.1,325.8,Medium (70-90),Hard (31-75),Mixed
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,490,45.0,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,Miltank,0.0,241,40,70,100,normal,None,75.5,2,0,0,52.43,0.667,73.3,90.0,88.7,586.7,Fast (90-110),Hard (31-75),Female-only
"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10240,140,540,30.0,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,Blissey,0.0,242,75,135,55,normal,None,46.8,2,0,0,20.8,0.118,46.7,133.3,70.1,8700.0,Slow (50-70),Legendary-tier (0-30),Female-only
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3.0,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,-1.0,243,115,100,115,electric,None,178.0,2,1,0,49.31,0.425,105.0,88.3,87.7,266.7,Very Fast (110-150),Legendary-tier (0-30),Genderless
"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3.0,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,-1.0,244,90,75,100,fire,None,198.0,2,1,0,44.9,0.561,101.7,91.7,90.2,266.7,Fast (90-110),Legendary-tier (0-30),Genderless
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3.0,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,Suicune,-1.0,245,90,115,85,water,None,187.0,2,1,0,46.75,0.455,83.3,110.0,109.8,266.7,Medium (70-90),Legendary-tier (0-30),Genderless
"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64,10240,35,300,45.0,Rock Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,Larvitar,50.0,246,45,50,41,rock,ground,72.0,2,0,1,200.0,0.587,50.0,50.0,50.0,60.4,Very Slow (<50),Hard (31-75),Mixed
['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,84,10240,35,410,45.0,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,Pupitar,50.0,247,65,70,51,rock,ground,152.0,2,0,1,105.56,0.564,66.7,70.0,70.0,113.1,Slow (50-70),Hard (31-75),Mixed
"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,164,10240,35,700,45.0,Armor Pokémon,150,1250000,2.0,100,Bangirasバンギラス,Tyranitar,50.0,248,95,120,71,rock,dark,202.0,2,0,1,50.5,0.633,110.0,123.3,121.6,1239.1,Medium (70-90),Hard (31-75),Mixed
"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3.0,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,-1.0,249,90,154,110,psychic,flying,216.0,2,1,1,7.99,0.5,96.7,130.0,128.5,617.1,Fast (90-110),Legendary-tier (0-30),Genderless
"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3.0,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,-1.0,250,110,154,90,fire,flying,199.0,2,1,1,13.78,0.542,110.0,116.7,113.7,617.1,Medium (70-90),Legendary-tier (0-30),Genderless
['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45.0,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,-1.0,251,100,100,100,psychic,grass,5.0,2,1,1,13.89,0.5,100.0,100.0,100.0,0.0,Fast (90-110),Hard (31-75),Genderless
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,45,5120,70,310,45.0,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,Treecko,88.1,252,65,55,70,grass,None,5.0,3,0,0,20.0,0.409,60.0,43.3,42.5,196.7,Slow (50-70),Hard (31-75),Mixed
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,65,5120,70,405,45.0,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,Grovyle,88.1,253,85,65,95,grass,None,21.6,3,0,0,26.67,0.433,81.7,53.3,52.7,377.5,Fast (90-110),Hard (31-75),Mixed
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,5120,70,630,45.0,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,Sceptile,88.1,254,145,85,145,grass,None,52.2,3,0,0,18.06,0.431,133.3,76.7,76.4,1150.0,Very Fast (110-150),Hard (31-75),Mixed
"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,60,5120,70,310,45.0,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,Torchic,88.1,255,70,50,45,fire,None,2.5,3,0,0,15.62,0.462,58.3,45.0,44.8,126.7,Very Slow (<50),Hard (31-75),Mixed
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,85,5120,70,405,45.0,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0,1,24.07,0.5,75.0,60.0,60.0,187.5,Slow (50-70),Hard (31-75),Mixed
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,160,5120,70,630,45.0,Blaze Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,fire,fighting,52.0,3,0,1,14.4,0.552,130.0,80.0,80.0,1110.0,Fast (90-110),Hard (31-75),Mixed
"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70,5120,70,310,45.0,Mud Fish Pokémon,50,1059860,0.4,50,Mizugorouミズゴロウ,Mudkip,88.1,258,50,50,40,water,None,7.6,3,0,0,47.5,0.583,53.3,50.0,50.0,96.7,Very Slow (<50),Hard (31-75),Mixed
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,405,45.0,Mud Fish Pokémon,70,1059860,0.7,70,Numacrawヌマクロー,Marshtomp,88.1,259,60,70,50,water,ground,28.0,3,0,1,57.14,0.586,65.0,70.0,70.0,137.5,Very Slow (<50),Hard (31-75),Mixed
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,150,5120,70,635,45.0,Mud Fish Pokémon,110,1059860,1.5,100,Laglargeラグラージ,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0,1,36.4,0.612,105.0,106.7,106.6,684.2,Slow (50-70),Hard (31-75),Mixed
"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55,3840,70,220,255.0,Bite Pokémon,35,1000000,0.5,35,Pochienaポチエナ,Poochyena,50.0,261,30,30,35,dark,None,13.6,3,0,0,54.4,0.647,40.0,33.3,33.2,86.7,Very Slow (<50),Easy (151-255),Mixed
"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90,3840,70,420,127.0,Bite Pokémon,70,1000000,1.0,70,Graenaグラエナ,Mightyena,50.0,262,60,60,70,dark,None,37.0,3,0,0,37.0,0.6,73.3,66.7,66.5,120.0,Slow (50-70),Medium (76-150),Mixed
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,3840,70,240,255.0,Tiny Racoon Pokémon,41,1000000,0.4,38,Jiguzagumaジグザグマ,Zigzagoon,50.0,263,30,41,60,normal,None,17.5,3,0,0,109.37,0.5,40.0,40.0,40.0,121.2,Slow (50-70),Easy (151-255),Mixed
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,3840,70,420,90.0,Rush Pokémon,61,1000000,0.5,78,Massugumaマッスグマ,Linoone,50.0,264,50,61,100,normal,None,32.5,3,0,0,130.0,0.583,73.3,66.7,66.2,305.2,Fast (90-110),Medium (76-150),Mixed
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,195,255.0,Worm Pokémon,35,1000000,0.3,45,Kemussoケムッソ,Wurmple,50.0,265,20,30,20,bug,None,3.6,3,0,0,40.0,0.692,28.3,36.7,36.2,127.5,Very Slow (<50),Easy (151-255),Mixed
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120.0,Cocoon Pokémon,55,1000000,0.6,50,Karasalisカラサリス,Silcoon,50.0,266,25,25,15,bug,None,10.0,3,0,0,27.78,0.583,25.0,43.3,41.0,244.2,Very Slow (<50),Medium (76-150),Mixed
